Tipo;TEMA;SUBTEMA;Escala;Recorte;Dado;Formato;Fonte
Dado;População;Total 2022;Municipal;Palmas;Valor numérico;Dado Bruto;SIDRA IBGE 2022
Dado;População;Estimada 2024;Municipal;Palmas;Valor numérico;Dado Bruto;SIDRA IBGE 2022
Dado;População;Densidade demográfica;Municipal;Palmas;Valor numérico (hab/m²);Dado Bruto;IBGE, 2022
Dado;População;Pirâmide etária;Municipal;Palmas;População residente, por sexo, idade e forma de declaração da idade;Gráfico;IBGE 2022
Dado;População;Pirâmide etária;Municipal;Palmas;População residente, por sexo, idade e forma de declaração da idade;Tabela;IBGE 2022
Dado;População;Pirâmide - raça e sexo do responsável pelo domicílio;Municipal;Palmas;Moradores em domicílios particulares, por condição no domicílio, segundo sexo, cor ou raça e grupos de idade da pessoa responsável pelo domicílio;Gráfico;IBGE 2022
Dado;População;Pirâmide - raça e sexo do responsável pelo domicílio;Municipal;Palmas;Moradores em domicílios particulares, por condição no domicílio, segundo sexo, cor ou raça e grupos de idade da pessoa responsável pelo domicílio;Tabela;IBGE 2022
Dado;População;Índice de envelhecimento (IE);Municipal;Palmas;"Valor numérico; Número de pessoas com 65 anos e mais de idade em relação a um grupo de 100 crianças de zero a 14 anos";Dado Bruto;IBGE 2022
Dado;População;Genero - Razao de sexo (RS);Municipal;Palmas;"Valor numérico; Número de homens em relação a um grupo de 100 mulheres em uma população";Dado Bruto;IBGE 2022
Dado;População;Populaçao Residente;Municipal;Palmas;Distribuição por setor censitário da população residente em domicílios em 2010;Mapa;IBGE 2010
Dado;População;Populaçao Branca Residente;Municipal;Palmas;Distribuição por setor censitário da população autodeclarada branca residente em domicílios em 2010;Mapa;IBGE 2010
Dado;População;Populaçao Parda Residente;Municipal;Palmas;Distribuição por setor censitário da população autodeclarada parda residente em domicílios em 2010;Mapa;IBGE 2010
Dado;População;Populaçao Preta Residente;Municipal;Palmas;Distribuição por setor censitário da população autodeclarada preta residente em domicílios em 2010;Mapa;IBGE 2010
Dado;População;Proporçao de raça ou cor autodeclarada;Municipal;Palmas;Proporção da população residente por raça ou cor autodeclarada por setor censitário em 2010;Mapa;IBGE 2010
Dado;Socioeconômico;Renda Mensal Domiciliar Total 2010;Municipal;Palmas;Distribuição de renda domiciliar total por setor censitário em 2010;Mapa;IBGE 2010
Dado;Socioeconômico;Renda Mensal Domiciliar por faixa salarial 2010;Municipal;Palmas;"Distribuição de renda domiciliar por faixa salarial, com base no salário mínimo, por setor censitário em 2010 (Até 1/8; 1/8 a 1/4; 1/4 a 1/2; 1/2 a1; 1 a 2; 2 a 3; 3 a 5; 5 a 10; mais de 10; sem renda)";Mapa;IBGE 2010
Dado;Socioeconômico;Proporçao da contribuiçao na renda mensal domiciliar total, por faixa salarial;Municipal;Palmas;"Distribuição da proporção de contribuição de renda domiciliar total por faixa salarial, com base no salário mínimo, por setor censitário em 2010 (Até 1/8; 1/8 a 1/4; 1/4 a 1/2; 1/2 a1; 1 a 2; 2 a 3; 3 a 5; 5 a 10; mais de 10; sem renda)";Mapa;IBGE 2010
Dado;Socioeconômico;IDH;Municipal;Palmas;IDHM 2010;Dado Bruto;Paraná Interativo
Dado;Socioeconômico;IDH;Municipal;Palmas;IPDM 2021 - Índice IPARDES de Desenvolvimento Municipal;Dado Bruto;Paraná Interativo
Dado;Socioeconômico;Orgânicos;Municipal;Palmas;Relação de produtores orgânicos do município em janeiro/2025;Tabela;MAPA
Dado;Socioeconômico;Censo agropecuário;Municipal;Palmas;Dados gerais do Censo Agropecuário 2017 para o município (variáveis no PDF);Shapefile;IBGE 2017
Dado;Socioeconômico;Censo agropecuário;Municipal;Palmas;Download de dados completos do Censo Agropecuário 2017;Tabela;IBGE 2017
Dado;Socioeconômico;Indústria;Municipal;Palmas;Mapa de indústrias no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Socioeconômico;índice de Vulnerabilidade Social - IVS;Municipal;Palmas;Mapa do Índice de Vulnerabilidade Social para os municípios do Paraná, recortado dos dados nacionais disponíveis para download (variáveis no XLXS);Shapefile;IPEA
Dado;Ambiental;Unidades de conservaçao;Municipal;Palmas;Mapa de unidades de conservação no município;Mapa;Plano Diretor de Palmas 2021
Dado;Ambiental;Unidades de conservaçao;Municipal;Palmas;Mapa de unidades de conservação estaduais no município 2022 (recorte do SHP do IAT);Shapefile;IAT, 2022
Dado;Ambiental;Unidades de conservaçao Estadual;Municipal;Palmas;Unidades de Conservação Estaduais 2022;Shapefile;IAT, 2022
